#separator:tab
#html:true
#notetype:Basic
#deck:00 Reading Room::Terms
#tags:reading-room-terms
#columns:Front	Back
cracks	<b>say:</b> KRAKS /kɹæks/<br><b>def:</b> Cracks are thin lines where something has broken a little but hasn't split all the way apart — like on a dry sidewalk, a wall, or an old cup. As a verb, it also means a sudden sharp breaking sound or a small split appearing.<br>🔊 "cracks" rhymes exactly with "tracks"<br>📖 cracks are thin broken lines running across a surface, like tiny tracks left behind by a split<br>🎭 Old sidewalk tracks reveal a web of thin cracks.<br>Anchors: "tracks" → tracks (rhymes with cracks)<br><br><i>Nemo alternates (unreviewed):</i><br>1. Stacked dishes crack as the stacks tip over.<br>Anchors: "stacks" → stacks (rhymes with cracks)<br>2. Melting wax pools crack as the candle cools.<br>Anchors: "wax" → wax (rhymes with cracks)
Quebec	<b>say:</b> kwuh-BEK /kwəˈbɛk/<br><b>def:</b> Quebec is Canada's largest province, and the name it shares with its capital city. It's known for being mainly French-speaking — road signs, schools, and daily life run in French, unlike most of the rest of Canada.<br>🔊 Quebec ends exactly like "beck" — as in "at his beck and call"<br>📖 picture a French-speaking corner of Canada, flying its own blue fleur-de-lis flag instead of the maple leaf<br>🎭 In Quebec, one quick beck of a chef's hand orders lunch in French.<br>Anchors: "kwuh" → "quick", "bek" → "beck"<br><br><i>Nemo alternates (unreviewed):</i><br>1. Quebec's road signs quote directions in French, beckoning drivers onward.<br>Anchors: "kwuh" → "quote", "bek" → "beckoning" (beck)<br>2. A Quebec busker plays for a quarter, singing French songs, beckoning passersby.<br>Anchors: "kwuh" → "quarter", "bek" → "beckoning" (beck)
platelet	<b>say:</b> PLAYT-lit /ˈpɫeɪtɫət/<br><b>def:</b> a tiny piece of blood cell that helps blood clot by sticking together to plug a cut<br>🔊 platelet = plate + the little-thing ending -let (like droplet, bracelet)<br>📖 platelets are tiny plate-shaped fragments that stack together to patch up a cut<br>🎭 Tiny plates rush to the cut, clump into a little round droplet.
tumor	<b>say:</b> TOO-mer /ˈtumɝ/<br><b>def:</b> A tumor is an abnormal lump of tissue that forms when cells grow and multiply more than they should; it can be harmless (benign) or dangerous (malignant/cancerous).<br>🔊 "tumor" rhymes exactly with "rumor" — same "-umor" ending, just swap the first letter.<br>📖 a tumor is tissue that keeps growing when it shouldn't — cells multiplying out of control, just like a rumor multiplies as it spreads.<br>🎭 Tissue spreads like a rumor.
bulge	<b>say:</b> BUHLJ /bʌldʒ/<br><b>def:</b> a part that swells or pushes outward, making a rounded bump on an otherwise smooth surface<br>🔊 "bulge" rhymes exactly with the end of indulge (in-DULGE / BULGE)<br>📖 a bulge is something pushing outward, swelling past a smooth line — like a belly straining against a shirt<br>🎭 The bulb lights my skin till the bulge bulks bigger.
apheresis	<b>say:</b> uh-FER-uh-sis /əˈfɛrəsɪs/<br><b>def:</b> A process where a machine draws your blood, separates it into parts, keeps or removes the part they want (e.g. faulty red cells), and returns the rest to you — a round trip, not just a draw. Here it's used for exchange transfusion.<br>🔊 the stressed middle sounds like "fair" — a-FAIR-esis<br>📖 a machine swaps your sickle-cell blood out and returns the rest<br>🎭 A blood fair, take off sickle cells, return the rest.
bibliography	<b>say:</b> BIB-lee-OG-ruh-fee /ˌbɪbliˈɑɡrəfi/<br><b>def:</b> A bibliography is the list of books, articles, and other sources a writer used or is recommending — usually at the end of a paper or book. If someone asks for your bibliography, they want to know where your information came from.<br>🔊 "bibliography" opens with BIB (like a baby's bib) and closes exactly like biography's "-ography"<br>📖 picture a baby's bib covered edge to edge with tiny book titles — that's the writer's own printed list of every book/source they used<br>🎭 Grandpa's bib bears tiny book titles — the sources page of his own biography.<br><br><i>Nemo alternates (unreviewed):</i><br>1. A bib-shaped chart pinned to this photography book lists every source used. Anchors: "BIB" → bib-shaped, "-OGRAPHY" → photography<br>2. The bib pinned to the geography textbook lists every mapmaker's source. Anchors: "BIB" → bib, "-OGRAPHY" → geography
sickle	<b>say:</b> SIK-ul /ˈsɪkəl/<br><b>def:</b> An old farming tool: a short handle with a curved, C-shaped blade for cutting crops by hand. “Sickle cell” = red blood cells bent into that same crescent shape.<br>🔊 sickle rhymes with pickle<br>📖 a C-shaped curved blade<br>🎭 Cutting a C-shaped pickle with a sickle.
stiff	<b>say:</b> STIF /stɪf/<br><b>def:</b> Hard to bend or move; the opposite of soft and floppy. Can describe a thing, a body part, or a formal manner.<br>🔊 stiff rhymes with cliff<br>📖 hard, won't bend (opposite of soft)<br>🎭 Soft shoes stick well on climbing a stiff cliff.
literature	<b>say:</b> LIT-er-uh-cher /ˈlɪtərətʃər/<br><b>def:</b> Written works valued as art (novels, poems, plays); also the whole body of written material on a subject (e.g. the medical literature).<br>🔊 “little at a” (time) maps onto LIT-er-a — same rhythm and syllables; and “teacher” echoes the -ture ending /tʃər/ (litera-TURE ≈ tea-CHER).<br>📖 a body of writing you study, worked through bit by bit<br>🎭 Read a little at a time, the teacher said, on literature.
cohort	<b>say:</b> KOH-hort /ˈkoʊhɔrt/<br><b>def:</b> A defined group of people who share a trait and are treated as one set — in research, a group selected by shared characteristics and often followed over time.<br>🔊 “sort” rhymes with the “-hort” ending; “co-” like coworker/copilot<br>📖 a batch of people bundled together by a shared trait, studied as one unit<br>🎭 Co-workers in hundreds is a sort of cohort.
clog	<b>say:</b> KLOG /klɑɡ/<br><b>def:</b> To block a passage so nothing can flow through; as a noun, the blockage itself. You only clog something with flow through a narrow channel, and it usually happens by buildup.<br>🔊 rhymes with dog / log — picture a fat log in a stream<br>📖 to jam a narrow channel by buildup, so flow slows then stops<br>🎭 Chunky log clogs the narrow drain.
drain	<b>say:</b> DRAYN /dreɪn/<br><b>def:</b> (verb) To let liquid flow away and empty out; (noun) the pipe or channel it flows through. Figuratively, to use something up until it’s empty (“drain your energy,” “a drain on resources”).<br>🔊 rhymes with rain — rainwater running off down a pipe<br>📖 let liquid flow away and empty out; the channel it flows through<br>🎭 Down to the channel, rain water running off the drain.
haemoglobin	<b>say:</b> HEE-muh-gloh-bin /ˈhiməˌɡloʊbɪn/<br><b>def:</b> The substance inside red blood cells that grabs oxygen from the lungs and carries it around the body — it’s what makes blood red. Too little healthy haemoglobin means the blood can’t carry enough oxygen (anaemia).<br>🔊 “He” = HEE-, and “globe” sits in the middle (-glob-)<br>📖 moving oxygen, inside red blood cells<br>🎭 He moves an oxygen globe in the red blood cells.
lass	<b>say:</b> LASS /læs/<br><b>def:</b> A girl or young woman — a warm, informal word, heard most in Scotland, Ireland, and northern England (the word for a boy is ‘lad’).<br>🔊 rhymes with gas<br>📖 a little girl<br>🎭 A little girl ran out of gas.
thalassaemia	<b>say:</b> thal-uh-SEE-mee-uh /ˌθæləˈsimiə/<br><b>def:</b> An inherited blood disorder — you’re born with it. The body can’t make enough healthy haemoglobin, so the blood stays weak and can’t carry enough oxygen; severe cases need lifelong transfusions.<br>🔊 tha-LASS-SEE-mia — hides lass, the stressed SEE is a perfect /si/ match, and it ends in -aemia (anaemia, which is what it causes)<br>📖 inherited weak blood from birth<br>🎭 The lass sees anaemia sailor.
anaemia	<b>say:</b> uh-NEE-mee-uh /əˈnimiə/<br><b>def:</b> When you don’t have enough healthy red blood cells, so the blood can’t carry enough oxygen — you feel tired, weak, and pale. It’s the ongoing state that thalassaemia and sickle cell cause.<br>🔊 “knee” (a-NEE-mia); “need” echoes it too<br>📖 blood missing the iron it needs<br>🎭 A girl’s knee meets iron, but her blood needs it.
severe	<b>say:</b> suh-VEER /səˈvɪr/<br><b>def:</b> Very serious, intense, or extreme — the strong, dangerous end of a scale, the opposite of mild (severe illness, severe storm, severe pain).<br>🔊 -vere is /vɪr/ (VEER) → rhymes with FEAR and GEAR (fear carries the danger too). “suggest” just echoes the unstressed /sə/ start; “very” is a meaning-echo (severe = very serious), not a sound match.<br>📖 serious and dangerous — the extreme end<br>🎭 I suggest FEAR for a very dangerous GEAR.
transfusion	<b>say:</b> tranz-FYOO-zhun /trænsˈfjuʒən/<br><b>def:</b> Giving a patient donated blood (or blood parts) through a drip into a vein — topping up what their body is missing. A lifeline for thalassaemia and sickle cell patients.<br>🔊 “trans” + “fusion” (rhymes with confusion)<br>📖 donated blood transferred into the patient<br>🎭 A nurse transfers donor blood through a bedside infusion pump.
